fips,Total Cases,Total Deaths,Count
46085.0,605,0,84
48065.0,230,0,58
48055.0,2523,0,79
48051.0,1243,0,79
48047.0,55,0,54
48045.0,44,0,44
48043.0,54,0,45
48035.0,312,0,61
48025.0,608,0,68
48023.0,12,0,10
48019.0,354,0,67
48017.0,560,0,41
48015.0,1280,0,82
48011.0,127,0,62
48009.0,47,0,31
48007.0,224,0,71
48003.0,1486,0,72
48001.0,3100,0,75
47183.0,1398,0,79
47181.0,2086,0,77
47179.0,4507,0,88
47177.0,986,0,77
47175.0,173,0,63
47173.0,262,0,79
48075.0,115,0,57
47171.0,784,0,81
48077.0,241,0,75
48081.0,51,0,41
48197.0,51,0,23
48187.0,6964,0,82
48175.0,444,0,74
48173.0,48,0,46
48171.0,261,0,74
48169.0,204,0,46
48165.0,322,0,82
48163.0,1638,0,68
48161.0,449,0,61
48159.0,525,0,78
48145.0,393,0,83
48133.0,336,0,82
48131.0,232,0,62
48129.0,1719,0,74
48127.0,65,0,65
48125.0,73,0,68
48119.0,80,0,68
48105.0,33,0,10
48097.0,718,0,66
48095.0,66,0,66
48089.0,1095,0,75
48087.0,169,0,41
48083.0,104,0,44
48079.0,53,0,53
47161.0,569,0,72
47153.0,644,0,75
47151.0,805,0,86
47031.0,3446,0,78
47029.0,1148,0,86
47027.0,411,0,75
47025.0,541,0,83
47023.0,763,0,85
47021.0,5375,0,89
47015.0,1147,0,81
46137.0,51,0,40
46135.0,2606,0,79
46129.0,310,0,64
46125.0,1193,0,78
46123.0,158,0,32
46119.0,64,0,64
46117.0,440,0,52
46115.0,271,0,74
46111.0,428,0,65
46109.0,1287,0,78
46102.0,853,0,68
46101.0,761,0,60
46097.0,88,0,66
46095.0,2,0,2
46091.0,155,0,77
46089.0,66,0,51
47039.0,343,0,68
47041.0,1778,0,83
47043.0,5953,0,87
47045.0,2961,0,88
47145.0,831,0,86
47143.0,5444,0,59
47139.0,858,0,74
47137.0,96,0,36
47135.0,930,0,85
47133.0,1158,0,83
47129.0,788,0,79
47127.0,198,0,61
47121.0,1129,0,81
47109.0,896,0,78
47103.0,1330,0,83
48211.0,72,0,72
47101.0,200,0,82
47091.0,714,0,79
47087.0,792,0,74
47083.0,431,0,85
47081.0,2763,0,75
47079.0,1323,0,78
47077.0,667,0,71
47069.0,7510,0,79
47067.0,29,0,27
47057.0,517,0,75
47055.0,693,0,77
47049.0,502,0,77
47095.0,18691,0,63
20003.0,37,0,37
56045.0,19,0,19
19195.0,139,0,68
17039.0,220,0,73
8081.0,446,0,79
17035.0,440,0,93
2290.0,74,0,74
17033.0,663,0,77
2275.0,9,0,7
2261.0,185,0,39
2240.0,155,0,73
2220.0,106,0,50
2198.0,129,0,65
2195.0,175,0,70
2188.0,59,0,26
17025.0,117,0,62
17023.0,530,0,77
17017.0,3098,0,56
17013.0,71,0,71
17009.0,387,0,45
17041.0,1489,0,82
18115.0,563,0,83
8079.0,154,0,78
17047.0,66,0,33
17101.0,227,0,69
8049.0,563,0,88
17095.0,4298,0,78
8053.0,212,0,86
8055.0,172,0,83
5001.0,235,0,78
8065.0,1503,0,76
17087.0,407,0,63
17071.0,367,0,59
17069.0,55,0,55
17065.0,114,0,58
17061.0,251,0,66
17059.0,133,0,71
17055.0,646,0,81
8071.0,271,0,73
8073.0,204,0,80
8077.0,3504,0,93
17045.0,17,0,17
5005.0,513,0,80
2185.0,18,0,18
17003.0,446,0,60
16065.0,1177,0,90
16063.0,1884,0,79
16059.0,51,0,51
16057.0,373,0,75
16055.0,4804,0,87
16051.0,470,0,82
16049.0,227,0,82
16047.0,1789,0,75
16045.0,1025,0,80
16043.0,208,0,82
16041.0,153,0,17
8099.0,522,0,67
18155.0,1235,0,79
16037.0,157,0,81
18161.0,1090,0,72
18165.0,568,0,79
16029.0,107,0,72
2013.0,6,0,6
2180.0,116,0,61
2016.0,37,0,11
18129.0,919,0,81
16087.0,1277,0,74
16085.0,171,0,85
2164.0,12,0,10
16081.0,711,0,93
2150.0,77,0,60
16077.0,245,0,69
2130.0,1299,0,90
16073.0,507,0,78
2110.0,2040,0,84
2100.0,6,0,6
2070.0,15,0,15
2060.0,26,0,16
8093.0,1089,0,87
18121.0,1140,0,73
5127.0,84,0,76
18125.0,228,0,64
2050.0,123,0,69
16067.0,2000,0,77
8103.0,73,0,73
17107.0,535,0,74
8043.0,1452,0,83
17193.0,106,0,56
17189.0,921,0,89
5089.0,81,0,66
17187.0,5377,0,65
18083.0,1624,0,78
5087.0,953,0,68
17185.0,204,0,70
5085.0,3089,0,81
5081.0,356,0,30
6033.0,886,0,70
5071.0,2566,0,79
5067.0,172,0,63
5063.0,1384,0,88
6035.0,139,0,23
5059.0,1593,0,83
6045.0,1237,0,89
5055.0,2252,0,88
6021.0,687,0,79
6049.0,2,0,2
18075.0,2033,0,75
6017.0,4627,0,86
5121.0,1386,0,81
5117.0,179,0,73
5129.0,495,0,88
5137.0,620,0,83
5109.0,278,0,83
5147.0,90,0,83
6003.0,129,0,77
5105.0,629,0,78
6005.0,554,0,87
5103.0,580,0,74
5101.0,189,0,77
5099.0,781,0,78
6009.0,997,0,83
6011.0,301,0,80
5097.0,68,0,48
18007.0,1149,0,64
6015.0,1204,0,74
5095.0,294,0,74
8047.0,162,0,67
6063.0,289,0,76
6091.0,24,0,24
17147.0,589,0,74
17145.0,1859,0,65
5025.0,1015,0,91
8021.0,83,0,39
17139.0,482,0,74
8023.0,335,0,80
17131.0,767,0,74
18101.0,570,0,72
5021.0,255,0,70
5019.0,2605,0,88
17129.0,909,0,78
17127.0,360,0,75
17125.0,864,0,72
17123.0,290,0,82
5009.0,368,0,88
17121.0,2635,0,77
8027.0,147,0,74
8017.0,186,0,39
5053.0,1068,0,88
5033.0,1025,0,83
5037.0,2266,0,83
6093.0,498,0,86
5049.0,239,0,53
6105.0,80,0,36
5047.0,181,0,70
6109.0,241,0,78
17175.0,120,0,68
17169.0,425,0,67
8007.0,545,0,77
8009.0,826,0,79
5041.0,1095,0,91
8011.0,68,0,36
17165.0,348,0,77
5039.0,98,0,72
17159.0,191,0,69
17155.0,32,0,30
17153.0,2105,0,67
17151.0,38,0,38
17149.0,75,0,72
16025.0,76,0,76
8095.0,619,0,77
19165.0,1493,0,79
